AccountsPayableAccount|CashShortTermInvestmentsAccount|CostRevenueAccount|CurrentAssetsAccount|CurrentLiabilitiesAccount|DebtObligationsLongTermAccount|EPSAccount|IntangibleAssetsAccount|InventoriesNetAccount|NetIncomeAccount|NetInterestExpenseAccount|ObjectDb.dbobj|AvailabilityDateAccount|EndDateAccount|StartDateAccount|OperatingProfitAccount|OperatingRevenueAccount|PropertyPlantEquipmentAccount|ReceivablesNetAccount|ResearchDevelopmentAccount|TotalAssetsAccount|TotalEquityCapitalAccount|TotalLiabilitiesAccount
63.304999999999999716|483.79599999999999227|2162.6059999999997672|555.00999999999999091|182.70699999999999363|0|9.5500000000000007105|21.939000000000000057|11.269999999999999574|298.08999999999997499||ai165914.01|20130719|20130630|20120630|491.35399999999998499|2943.225999999999658|895.81899999999995998|14.961000000000000298|0|1808.93100000000004|1367.4429999999999836|441.48799999999999955
56.628999999999997783|507.5029999999999859|2060.9549999999999272|575.51400000000001|182.11600000000001387|0|9.2899999999999991473|21.939000000000000057|11.430999999999999162|291.92000000000001592||ai165914.01|20130419|20130331|20120331|478.80200000000002092|2817.3720000000002983|875.59699999999997999|15.474999999999999645|0|1712.6700000000000728|1288.0909999999998945|424.57900000000000773
58.700000000000002842|472.85899999999998045|1990.8840000000000146|546.6069999999999709|186.85200000000000387|3.3860000000000001208|8.8200000000000002842|21.939000000000000057|11.096000000000000085|278||ai165914.01|20130211|20121231|20111231|460.89199999999999591|2731.2239999999997053|866.70299999999997453|16.800000000000000711|0|1668.6669999999999163|1245.9259999999999309|422.74099999999998545
65.093999999999994088|573.89099999999996271|1904.5720000000001164|656.67899999999997362|159.33299999999999841|3.4230000000000000426|8.6999999999999992895|21.939000000000000057|9.9640000000000004121|274.12000000000000455||ai165914.01|20121019|20120930|20110930|453.15899999999999181|2628.8119999999998981|835.65399999999999636|14.566000000000000725|0|1706.2049999999999272|1307.6159999999999854|398.58899999999999864
55.960000000000000853|529.53300000000001546|1829.9690000000000509|620.44200000000000728|150.10900000000000887|3.4590000000000000746|8.3499999999999996447|21.939000000000000057|10.503999999999999559|262.2529999999999859||ai165914.01|20120720|20120630|20110630|433.38499999999999091|2520.13799999999992|804.65499999999997272|10.351000000000000867|0|1648.4090000000001055|1261.2249999999999091|387.18400000000002592
49.154000000000003467|464.67099999999999227|1764.6879999999998745|551.48699999999996635|124.54699999999999704|3.4940000000000002167|7.3999999999999994671|21.939000000000000057|10.01699999999999946|231.22699999999997544||ai165914.01|20120420|20120331|20110331|383.3599999999999568|2400.7669999999998254|773.11599999999998545|9.0869999999999997442|0|1527.5679999999999836|1169.7950000000000728|357.77300000000002456
46.381999999999997897|456.24799999999999045|1680.3209999999999127|501.19200000000000728|157.45300000000000296|3.5289999999999999147|6.8899999999999996803|21.939000000000000057|8.9130000000000002558|214.94499999999999318||ai165914.01|20120213|20111231|20101231|356.367999999999995|2269.5480000000002292|751.95100000000002183|8.3889999999999993463|0|1425.3079999999999927|1044.2260000000001128|381.08199999999999363
49.011000000000002785|444.63400000000001455|1596.6400000000001|487.72899999999998499|128.44300000000001205|3.563000000000000167|6.5499999999999998224|21.939000000000000057|8.7680000000000006821|203.91699999999997317||ai165914.01|20111022|20110930|20100930|337.00600000000002865|2155.319999999999709|719.34600000000000364|5.7649999999999996803|0|1343.3730000000000473|999.44100000000003092|343.93200000000001637
40.258000000000002672|384.56000000000000227|1507.5119999999999436|441.71199999999998909|117.41599999999999682|3.5960000000000000853|6.1699999999999999289|21.939000000000000057|8.4469999999999991758|191.71199999999998909||ai165914.01|20110722|20110630|20100630|316.81299999999998818|2040.3400000000001455|695.60900000000003729|6.17900000000000027|0|1263.5809999999999036|939.06200000000001182|324.51900000000000546
70.266999999999995907|532.17300000000000182|2259.2799999999997453|603.78200000000003911|179.6980000000000075|0|9.9699999999999988631|21.939000000000000057|12.509000000000000341|309.16900000000003956||ai165914.01|20131018|20130930|20120930|511.85099999999999909|3069.6050000000000182|936.02300000000002456|14.574999999999999289|0|1911.4320000000000164|1465.7419999999999618|445.68999999999999773
23.890000000000000568|188.03399999999999181|1042.4580000000000837|211.07200000000000273|76.787999999999996703|3.8780000000000001137|2.3799999999999998934|21.939000000000000057|4.7889999999999997016|78.201999999999998181|0.30199999999999999067|ai165914.01|20090304|20081231|20071231|133.69799999999997908|1329.7049999999999272|585.89900000000000091|3.6429999999999997939|0|824.98500000000001364|622.59000000000003183|202.39500000000001023
35.929000000000002046|327.93900000000002137|1424.72199999999998|377.16000000000002501|99.343999999999994088|3.6290000000000000036|6.0200000000000004619|21.939000000000000057|8.7379999999999995453|187.51599999999999113||ai165914.01|20110425|20110331|20100331|308.04399999999998272|1935.6200000000001182|683.39200000000005275|7.6230000000000002203|0|1158.0550000000000637|862.7459999999999809|295.30900000000002592
22.661999999999999034|204.9339999999999975|1073.0190000000002328|230.44499999999999318|88.615999999999999659|3.8559999999999998721|2.6400000000000001243|21.939000000000000057|5.7660000000000000142|86.310000000000002274|0.22799999999999998046|ai165914.01|20090507|20090331|20080331|148.49500000000000455|1378.8340000000002874|595.95100000000002183|3.375|0|854.59900000000004638|632.54600000000004911|222.05299999999999727
24.666000000000000369|208.29900000000000659|1096.3510000000001128|239.29699999999999704|80.941999999999993065|3.8349999999999999645|3.0099999999999997868|21.939000000000000057|5.7149999999999998579|97.234999999999999432|0.15299999999999999711|ai165914.01|20090728|20090630|20080630|167.47699999999997544|1426.91599999999994|605.63099999999997181|3.2170000000000000817|0|873.33900000000005548|649.05999999999994543|224.27899999999999636
25.230000000000000426|269.56599999999997408|1139.8980000000001382|297.45400000000000773|102.1530000000000058|3.7820000000000000284|3.9900000000000002132|21.939000000000000057|5.6139999999999998792|126.84499999999999886||ai165914.01|20100222|20091231|20081231|209.66100000000000136|1518.4169999999999163|636.41099999999994452|4.7629999999999999005|0|961.50499999999999545|703.46100000000001273|258.04399999999998272
32.554999999999999716|238.44599999999999795|1117.2300000000000182|269.14199999999999591|87.13599999999999568|3.8100000000000000533|3.5099999999999997868|21.939000000000000057|5.8579999999999996518|112.2219999999999942|0.074999999999999997224|ai165914.01|20091028|20090930|20080930|190.39300000000000068|1473.9540000000001783|622.02599999999995362|3.1330000000000000071|0|919.81899999999995998|681.68200000000001637|238.13700000000000045
26.138999999999999346|298.00200000000000955|1171.5180000000000291|327.05000000000001137|100.27200000000000557|3.7530000000000001137|4.4000000000000003553|21.939000000000000057|6.3140000000000000568|139.30000000000001137||ai165914.01|20100427|20100331|20090331|229.17300000000000182|1573.6469999999999345|637.56899999999995998|3.5139999999999997904|0|992.7720000000000482|734.3790000000000191|258.39299999999997226
30.210999999999998522|307.04199999999997317|1225.36200000000008|339.34800000000001319|100.57399999999999807|3.724000000000000199|4.7699999999999995737|21.939000000000000057|6.3579999999999996518|150.367999999999995||ai165914.01|20100728|20100630|20090630|246.97800000000000864|1651.6520000000000437|641.60000000000002274|3.7869999999999999218|0|1009.1219999999999573|750.01400000000001|259.10800000000000409
33.704999999999998295|349.60399999999998499|1346.5170000000000528|406.22100000000000364|123.05400000000000205|3.661000000000000032|5.7299999999999995381|21.939000000000000057|7.097999999999999865|178.98099999999999454||ai165914.01|20110224|20101231|20091231|294.12700000000000955|1835.9220000000000255|676.88099999999997181|5.6580000000000003624|0|1121.6050000000000182|810.87300000000004729|310.73200000000002774
35.640999999999998238|300.9959999999999809|1281.6700000000000728|345.39900000000000091|103.43300000000000693|3.6930000000000000604|5.2300000000000004263|21.939000000000000057|7.1749999999999998224|164.132000000000005||ai165914.01|20101022|20100930|20090930|269.72000000000002728|1740.9449999999999363|658.42300000000000182|4.44599999999999973|0|1032.3710000000000946|761.02899999999999636|271.34199999999998454
